cod_BCN,clase_I,clase_II,clase_III,clase_IV,clase_NC,clase_V,clase_VI,clase_VII,clase_VIII,eligible_area,share_eligible_area,ln_eligible_area
7403.0,8233.72825745,3572.05262417,24869.8381009799,7627.20092038,2165.36658386999,0.0,7490.95100046,12045.98406638,2221.24086693,44302.82,8.649633e-05,10.698826
7404.0,3051.37567077,8686.51,28848.83553062,32509.53,1632.8491748499998,0.0,1289.854513,14655.484194449999,3876.20568764999,73096.25,0.00014271229,11.199546
7405.0,8751.81331895,9985.61,31582.24451366,22406.9116560799,1534.83253609,0.0,1650.2732472199998,3281.7887507,3534.11050473999,72726.58,0.00014199055,11.194476
7406.0,331.99867372,3671.28097268,20265.10120083,24420.0038909799,4405.12569729,0.0,16918.89844523,59308.677021129995,1936.5216632699999,48688.383,9.505865e-05,10.793217
7407.0,511.49577144,823.59375886,10975.66798493,4573.04540881,583.5486479999989,0.0,158.27314217,781.31277024,464.86614655,16883.803,3.2963744e-05,9.734169
7408.0,112.52145438999999,605.1974755,15349.73548043,4567.4543210599995,810.5656834600001,0.0,3240.82,800.4970102,411.44481684,20634.908,4.0287363e-05,9.934788
8101.0,0.0,0.0,678.53846949,213.1669125,3907.70385014999,0.0,268.43979486,16966.0,35.050610119999995,891.7054,1.7409556e-06,6.7942567
8102.0,0.0,0.0,917.90404538,2319.58112682,3571.2519816,0.0,534.186265429999,16907.7031223499,833.64320637,3237.485,6.3208295e-06,8.082861
8103.0,0.0,0.0,66.58664519,2.14736491999999,2081.44436824,0.0,0.0,4964.5,41.92124856,68.73401,1.341955e-07,4.244688
8104.0,0.0,6.08740513,1306.73265265,1947.08924859,503.60042737999896,0.0,7669.57457893,49258.05774754,0.0,3259.9094,6.3646103e-06,8.089762
8105.0,0.0,189.626475549999,2800.39729936,717.1589551599999,3245.0284864399996,0.0,1887.9973338,44597.099240049996,256.733497419999,3707.1826,7.2378616e-06,8.218297
8106.0,0.0,0.0,66.69286893,126.56032522,798.94287821,0.0,670.94979327,9761.08845413,16.9500784399999,193.25319,3.7730535e-07,5.269162
8107.0,0.0,12.07899143,204.57591886999998,148.13196607,928.07742722,0.0,626.38940051,8856.38034363,71.48744422,364.78687,7.1220575e-07,5.902051
8108.0,0.0,0.0,192.61969359,1614.57164476,3655.55,0.0,431.81893271,4785.30465403,618.80094621,1807.1913,3.52834e-06,7.5000825
8109.0,0.0,0.0,2646.6353028599997,2375.53635927,2653.77995516,0.0,8170.904668609999,61821.41779388,248.51017117999902,5022.172,9.8052315e-06,8.521817
8110.0,0.0,6.5145494600000005,153.07742795000001,1132.9164990699999,3377.81649926,0.0,359.4995139,4127.74335033999,7.06444196,1292.5084,2.5234788e-06,7.1651134
8111.0,0.0,0.0,474.02137396,1550.3986171000001,1437.13719017999,0.0,7497.39435794,38454.99,3.47043672,2024.42,3.952455e-06,7.6135325
8112.0,0.0,28.63050758,306.27929374,656.16,2028.2203539400002,0.0,240.05508519,1947.6205470299901,152.789026619999,991.0698,1.9349536e-06,6.8997936
8201.0,0.0,1184.61633695,7504.64478762,7967.48530923,955.18949401,0.0,4907.412227979989,27974.88543264,723.89773193,16656.746,3.2520442e-05,9.720631
8202.0,0.0,296.10110632,8755.65731259,8766.69134589,2117.84408915999,0.0,10808.35853235,61408.4589441499,3721.56316509,17818.45,3.478854e-05,9.788046
8203.0,0.0,9663.59259841,12503.590286749999,8938.654295100001,4036.02108362,0.0,6386.93318156,65921.1225331399,1636.34156069,31105.838,6.0730687e-05,10.345183
8204.0,0.0,442.44435150999897,1300.6728122,682.21901389,3402.55583378,0.0,7259.495093279999,50954.047674349895,29.95160722,2425.3362,4.735199e-06,7.7941375
8205.0,0.0,0.0,2323.57843417,10688.77,1367.58583291,0.0,12278.08726535,73892.34601312,12.62073901,13012.349,2.5405163e-05,9.473731
8206.0,0.0,3195.8395249599903,8874.15321335,3521.8919085400003,1033.48116723999,0.0,2670.5186970899904,40273.56,640.33172898,15591.885,3.0441419e-05,9.65457
8207.0,0.0,384.12824696999996,3822.76432056999,6180.1800176,3016.79998596,0.0,8785.96600889,38264.66,2366.19751035,10387.072,2.0279602e-05,9.248413
8301.0,18575.99540308,16047.1,33234.8858632599,45492.8901154399,7041.74630121,0.0,34525.572505920005,18863.21869508,1253.7516132199999,113350.875,0.00022130497,11.638252
8302.0,0.0,672.07775322,1850.3218188199999,3186.02456754,2468.61484236,0.0,1597.3250218,12834.77418237,81949.86397441,5708.4243,1.1145064e-05,8.649874
8303.0,0.0,881.88956658,19587.6396240799,31317.60567952,1669.0723210299998,0.0,7543.97284028999,4462.46775983,298.5083854,51787.137,0.00010110862,10.854917
8304.0,0.0,0.0,8063.781815820001,5298.884733919999,1824.1921342199998,0.0,4949.94261496,14371.46092663,56.02645521,13362.667,2.608912e-05,9.500295
8305.0,1594.1372509599998,17415.03366255,26014.466260229998,38526.71830206,2447.14879753,0.0,19496.67224916,43317.859966879994,43454.71,83550.36,0.00016312278,11.333217
8306.0,214.42103976,763.23129763,2833.0810859099997,3739.0165000999996,2236.10632032,0.0,8497.404312480001,72281.73834019,59.33760265,7549.75,1.4740047e-05,8.929402
8307.0,978.77553661,4514.13345966,5584.30051603,1473.94790866,528.79257761,0.0,853.6184958499999,1508.41108128,111.84642288,12551.157,2.4504738e-05,9.437648
8308.0,0.0,5723.206544979999,1842.00331354,10536.942334149999,3197.54007665,0.0,5265.990248380001,11097.75175875,74734.2755812,18102.152,3.5342437e-05,9.803842
8309.0,561.68946148,8013.449678019991,9451.69851054,15358.07322419,1316.21115051,0.0,27285.046655579998,23059.41518873,26822.2775965799,33384.91,6.518032e-05,10.415889
8310.0,0.0,140.73905345,745.23677669,439.67732326,1019.50156765,0.0,934.8590358,6106.686775499999,74.55,1325.6532,2.5881902e-06,7.1904144
8311.0,1028.8451838,11119.52238364,4277.90574017,17687.98240426,1472.90164059,0.0,9814.26819906999,26658.82448676,53115.98164064,34114.254,6.660428e-05,10.4375
8312.0,0.0,12313.378576950001,2730.12,5705.51616386,2065.3106717299897,0.0,11840.3501254499,23694.51,33078.3250306899,20749.016,4.0510145e-05,9.940302
8313.0,0.0,1392.54894436,8940.06775070999,10833.92251893,1548.6757345399901,0.0,7721.64993661,42376.40498751,1.4188336499999998,21166.54,4.132531e-05,9.960224
8314.0,0.0,0.0,340.4640206,3184.32810756,1527.1585879499999,0.0,505.04910774,2077.51839724,101862.20574645001,3524.7922,6.8817644e-06,8.16786
9101.0,0.0,1518.12,9141.14489508,9663.13584058,4364.33254263,0.0,3548.8467255299997,17994.427449029998,528.29421097,20322.4,3.9677227e-05,9.919528
9102.0,0.0,1735.57257951,3628.50395581,1816.13267514,1805.56194611,0.0,38504.6238187,69502.82113124,16958.033100829998,7180.209,1.4018559e-05,8.879223
9103.0,0.0,3783.69022912,28612.4283104499,23261.24334456,10294.3381798,0.0,24624.45715233,86268.76898672,7710.69906562999,55657.363,0.000108664804,10.926988
9104.0,0.0,0.0,400.07668896,871.55730926,70.92972306,0.0,1914.0889768499999,12078.84264647,6006.01688587,1271.634,2.4827239e-06,7.1488442
9105.0,0.0,26659.47194027,25159.9770820699,10485.84776552,3103.22349538,0.0,10120.38018997,10146.39548657,1445.89140939,62305.297,0.00012164416,11.039818
9106.0,0.0,126.87680333,10022.87493981,7575.197770009991,543.97132415,0.0,10647.8242861799,27241.934073200002,728.60835049,17724.95,3.460599e-05,9.782784
9107.0,0.0,5858.65552034,10437.9613818,7720.800652989999,1307.0501886,0.0,8983.63957614999,34826.98952609,9.83299611,24017.418,4.6891335e-05,10.086576
9108.0,0.0,4402.00588333,37646.62705748,14642.14586712,3230.14150023,0.0,6055.18475291,24364.19595591,347.644320609999,56690.777,0.000110682435,10.945384
9109.0,0.0,4839.66,16893.13002841,10331.80307006,912.9110125999999,0.0,10278.96,53929.57147941,65.6459334599999,32064.594,6.260255e-05,10.375539
9110.0,0.0,223.46140577999998,1638.62366501,1558.11802924,1675.2520026499901,0.0,6537.394305249991,22687.97982507,19121.32075219,3420.2031,6.677566e-06,8.137748
9111.0,0.0,4665.37388783,10151.647112240002,19312.58371096,1703.97974601,0.0,14728.87425389,21469.5389645699,1200.03056231,34129.605,6.663425e-05,10.43795
9112.0,0.0,9008.15255523,16764.73361307,7390.67513735,2317.99715047,0.0,2330.01413396,8371.30433477,257.25,33163.562,6.4748165e-05,10.409237
9113.0,0.0,300.98092180000003,23206.7726768899,5185.82888254,1492.71898242,0.0,696.5696624799999,2192.19474232,60.66714964,28693.582,5.6021025e-05,10.264463
9114.0,0.0,11146.95,17414.18494377,10622.53458003,3000.9593646400003,0.0,5362.54,9542.48270595,1321.4805646799898,39183.668,7.6501754e-05,10.576041
9115.0,0.0,0.0,661.97,11028.90822824,11076.59089215,0.0,14277.59,56379.54,13740.246691539998,11690.878,2.2825137e-05,9.36665
9116.0,0.0,270.3523779,1827.0804989399999,1061.70318699,7190.24783604,0.0,17777.76,9969.81942449999,1711.14662205,3159.136,6.1678616e-06,8.058371
9117.0,0.0,9006.93680098999,13735.71439926,9203.01550604,1511.55,0.0,6914.398594159999,22441.846717899996,2850.6027264400004,31945.666,6.237036e-05,10.371823
9118.0,0.0,3022.09666961,7287.436668650001,6832.3978928099905,1179.55961304,0.0,8461.44282363,54543.99332517,3954.2206297400003,17141.932,3.3467713e-05,9.749341
9119.0,0.0,14775.36017827,34718.685465869996,13909.81142405,3152.01382029,0.0,22243.51228507,45961.419024619994,6923.64545342,63403.855,0.00012378897,11.057296
9120.0,0.0,5702.25329437,24452.74351773,27177.62893326,18254.08513675,0.0,9480.69249309999,40403.68474007,3844.01670367,57332.625,0.00011193557,10.956642
9121.0,0.0,152.29792702,1673.04761758,10327.50120564,644.8274729,0.0,5670.21048571,24327.89348001,4.76105109,12152.847,2.3727081e-05,9.405401
9201.0,3156.4878540699997,3160.35644942,4308.31067699,11195.32859585,1720.14776252,0.0,7777.0983572,88403.55330832001,229.41450232000003,21820.484,4.2602067e-05,9.99065
9202.0,0.15939120999999998,36194.121532209996,15757.2,13332.28552467,1424.4802188199901,0.0,9301.42042353,35378.0988095799,19322.5977790399,65283.766,0.00012745928,11.0865135
9203.0,0.0,17655.06653825,7018.13927372,12937.523418129998,1643.94120193,0.0,16533.90167358,28114.07446574,54647.25738127,37610.73,7.343077e-05,10.535071
9204.0,0.0,11255.0299424999,10573.043779439999,7135.01799131,396.00688416,0.0,6839.01070938,13730.7190659899,2.51707583,28963.092,5.6547215e-05,10.273812
9205.0,0.0,0.0,0.0,0.0,10.92985827,0.0,0.0,0.0,986.28114317,0.0,0.0,0.0
9206.0,0.02664556,0.16621598,6869.17531323,9536.15624335999,473.29579828,0.0,15166.26401361,52900.22203858,16.2111785699999,16405.525,3.2029962e-05,9.705435
9207.0,0.0,228.58923024999999,4232.154255149991,2382.36102983,472.85,0.0,5530.177402339999,91518.13600560991,6896.1720888,6843.1045,1.33604e-05,8.831143
9208.0,0.0,0.0,2429.48671648,5673.37361898,437.52237805,0.0,6100.091033000001,31418.12634865,448.13679561,8102.8604,1.5819933e-05,9.000095
9209.0,2476.69988132999,4978.08437248,5938.96978342,2401.17464496,880.20524391,0.0,1573.0782635599999,8252.57106342,82.94230834999999,15794.929,3.083784e-05,9.667507
9210.0,0.0,256.32389194,16088.459549950001,16934.282854659898,990.4600208300001,0.0,26085.0791934999,27885.7935460099,1599.63415551,33279.066,6.4973676e-05,10.412714
9211.0,0.0,33813.44090815,25456.4344356599,51114.77234135,2198.6076349,0.0,5314.89904193,8360.552177200001,67.27511913,110384.65,0.00021551375,11.611735
10101.0,0.0,2444.6075907100003,10843.22052642,13308.36,79126.68121021001,554.9197449,37293.184665479996,15907.49805944,4024.35,26596.188,5.1926098e-05,10.1885605
10102.0,0.0,746.7438668699999,8719.91576179,2864.81293318,8569.48270571,567.167322719999,14669.45337575,15732.2,1019.4347156199999,12331.473,2.4075827e-05,9.4199915
10103.0,0.0,0.0,1124.20037263,637.7506521299999,26661.4735604,0.0,3935.18136932,4051.2951627399902,8261.77993576999,1761.951,3.4400134e-06,7.4747443
10104.0,281.5557021,7641.2819504,24598.627239729998,16161.593812149998,975.3470633,0.0,20567.8808193,50290.246791640006,7350.715332259991,48683.06,9.504826e-05,10.793107
10105.0,2648.36139418,9279.40703954,29116.20399745,9375.90323719,18768.9608731,0.0,9774.35597581,2597.18046644,1454.51490771,50419.875,9.8439195e-05,10.82816
10106.0,0.0,5224.45,40287.75211525,8443.02748304,827.01179552,552.1436670199989,24897.32309195,38353.47103378,3945.16181110999,53955.23,0.00010534158,10.895928
10107.0,180.34602633,9138.34282751,16811.97163444,3916.4527485899903,7140.84655920999,105.84208790999999,3738.0632855599997,1966.33888079999,405.89184501999995,30047.113,5.8663645e-05,10.310555
10108.0,152.00049300999999,1778.64461164,28639.1737154199,3462.2566679700003,1293.36210534,413.57291045,24567.47602242,7763.40504776999,10861.7233332799,34032.074,6.6443834e-05,10.435088
10109.0,0.0,7082.191618429991,22394.433072500004,11055.07803458,75508.6408706699,104.62213074,29226.3225610099,23663.7014431,37236.78,40531.703,7.913364e-05,10.609864
10201.0,0.0,1503.5589695,4802.16971629,1193.33570761,4840.33598319,803.0498631,7178.15097627,26145.906845060003,469.89754629,7499.0645,1.46410885e-05,8.922667
10202.0,0.0,5048.16829975,19834.340394529998,8028.25559276,2329.72445699,55226.22160524999,24121.80603576,52601.573283820006,7116.05058467,32910.766,6.425461e-05,10.401586
10203.0,0.0,2438.72922665,12972.31572606,14613.527463569999,7537.84576903,10185.18296151,13532.83658199,72830.28368748,2230.21795693,30024.572,5.8619637e-05,10.309805
10204.0,0.0,274.36324179,864.580273939999,0.0,69.0440260299999,34.0432242799999,2954.20214867,3713.59729996,20.41080311,1138.9435,2.2236604e-06,7.038734
