cut02,year,population,dependency_rate,schooling,rural_share,sh_first_pea,sh_second_pea,sh_third_pea
5403,2002,4608,56.04470030477481,8.752979737783075,5.750868055555555,17.58641600970285,4.972710733778047,75.19708914493633
5404,2002,9440,60.76294277929155,7.740456890198968,51.95974576271186,34.434434434434436,4.170837504170837,57.79112445779112
5405,2002,5659,56.585500830105154,8.779575084500241,16.168934440713905,15.552523874488402,4.365620736698499,78.49022282855843
5501,2002,75916,51.841110466627995,9.811498800749312,13.028874018652195,21.884783969943644,7.089682042718986,69.32442774646907
5502,2002,49503,53.31702180376611,9.337306903622693,3.3674726784235296,12.78348189100756,12.58603181766896,72.43596976193163
5503,2002,16014,55.59657986785853,7.865331252167881,48.81978269014613,52.30296827021495,5.6806550665301945,40.66871374957353
5504,2002,12851,54.64500601684718,9.434554424267871,17.430550151739162,35.84437086092716,5.422185430463576,56.80877483443708
5505,2002,39219,55.212126009181574,9.393026777724238,10.890129784033249,22.34694580263067,8.084842641691344,67.81902072859995
5506,2002,21633,53.84013653818802,8.613388324873096,13.567235242453659,30.45803620405924,9.229292375205706,57.87164015359297
5507,2002,14105,57.29898516783762,8.676606387071951,26.41616448068061,26.29135229251306,5.900561036951054,65.66066937512092
5601,2002,87205,52.007181578901495,9.570331528568547,4.323146608566023,8.703754620719153,8.87483579262518,79.67189075245166
5602,2002,8601,55.05678745267713,9.441748327889252,22.93919311707941,10.288808664259928,5.6859205776173285,82.61131167268351
5603,2002,16875,57.22537967017609,9.314594251230744,9.321481481481483,9.090909090909092,7.962840079628402,80.5242203052422
5604,2002,9467,60.702766932609066,9.600027960296378,5.661772472800253,6.118881118881119,8.42074592074592,84.46969696969697
5605,2002,7028,60.529922338967566,9.588093917544832,6.033010813887308,7.154471544715448,7.317073170731707,83.6178861788618
5606,2002,7418,54.15627597672486,8.943492526430916,36.14181720140199,31.80494905385735,5.49490538573508,60.80786026200873
5701,2002,64126,54.815190362376576,9.764351357127591,9.92733056794436,15.675417280803092,11.978647970362108,70.89989244313428
5702,2002,12112,53.68608044664383,7.908302354399009,44.6334214002642,44.9730489805484,7.593156784626201,45.84016873681744
5703,2002,21644,54.67733866933466,8.620619860847565,25.083163925337278,34.39680957128614,9.234795613160518,54.63609172482552
5704,2002,6567,56.46890636168692,8.130787283976957,55.778894472361806,51.19578435346575,7.458451560599919,40.49452776651804
5705,2002,14649,59.17635553623818,8.131486611265005,50.754317700866956,30.005918327086214,9.646873150522786,58.61116591043598
5706,2002,12813,54.727689892525056,8.42437513351848,36.58003590103801,42.77951933124347,4.555903866248694,51.07628004179728
6101,2002,214344,50.703443039042675,10.2166122425505,3.43979770835666,13.481521855042242,9.8475064279536,74.9505314169935
6102,2002,10796,51.67181792638381,8.113592852584556,51.34309003334568,44.58255159474672,9.099437148217635,44.9812382739212
6103,2002,6385,58.162001486252166,8.124099957645065,35.755677368833204,40.07525870178739,12.605832549388523,45.672624647224836
6104,2002,16228,57.32428502181289,7.64502750740584,57.12349026374169,45.90163934426229,8.831306187202538,44.12127622069452
6105,2002,16916,53.823770119123395,8.717175820604485,7.838732560889099,20.6385780118499,24.308755760368665,53.12705727452271
6106,2002,25961,52.362227830271735,8.87863430248066,12.661299641770349,30.19188486907855,13.651808914651209,54.49730161902858
6107,2002,20242,55.14677703686671,7.421864475279537,62.71119454599348,46.82301608944641,4.622307062994273,47.30024543223343
6108,2002,28628,53.93053016453382,9.592383292383293,6.203716641050719,18.91025641025641,7.893772893772893,71.88644688644689
6109,2002,12872,54.61861861861862,7.953103300929388,63.41671845866998,41.033568904593636,17.86660777385159,39.57597173144876
6110,2002,21866,50.654540443709514,8.573538615596446,18.1240281715906,27.85207582277009,13.175950691940924,57.646237934643565
6111,2002,12335,53.9181432493137,8.174695364992598,35.97081475476287,36.10875106202209,11.51231945624469,51.18946474086661
6112,2002,13948,55.06392440244581,8.317323846229865,45.31115572125036,42.184154175588866,10.901304263188631,45.43507883978976
6113,2002,17756,54.29266597149809,7.3151676829268295,72.03762108583014,56.099162699064195,5.729765227384666,36.46363487112133
6114,2002,11380,54.26325064389318,7.800412271128895,48.59402460456942,52.09580838323353,10.035928143712574,36.455089820359284
6115,2002,50830,55.51476212329815,8.762512050681725,27.060790871532557,27.286967418546364,14.687761069340016,56.57372598162071
6116,2002,22161,53.67172872893696,8.307799796747968,49.609674653670865,40.42746703046839,13.040018190086403,45.543428831286946
6117,2002,40253,55.0518084819537,8.476137286758732,45.43263856110104,34.44148026540803,11.498734523565224,52.43176687871948
6201,2002,12392,54.803247970018745,8.073138589940699,23.668495803744353,32.25587703435805,7.2784810126582276,59.38065099457505
6202,2002,4221,36.337209302325576,8.095210617426428,67.30632551528075,29.701230228471005,5.184534270650263,63.53251318101933
6203,2002,5526,57.57057313943541,7.196116982059474,55.139341295693086,32.842334969994546,6.492089470812876,58.97435897435898
6204,2002,6904,54.83292217986096,7.364326006613499,68.01853997682502,43.63188167625308,12.900575184880855,41.86524239934265
6205,2002,5422,59.98819710829153,6.818289504856669,86.86831427517521,27.453769559032715,5.476529160739687,64.15362731152204
6206,2002,6695,60.59006956104581,6.013597280543891,67.21433905899926,46.37605042016807,4.411764705882353,47.42647058823529
6301,2002,63732,53.674768518518526,9.510911286496745,19.76401179941003,18.540093202635386,11.730676522577536,68.46376345813916
6302,2002,13857,54.01800600200066,7.1517294835771725,49.852060330518874,55.39116789957409,3.855637749383546,38.825375476350594
6303,2002,32316,53.622361665715914,7.6271056661562024,47.737962619136034,52.034422257498534,9.023310218063331,37.41331773748851
6304,2002,6191,57.37163192679206,6.544793671156724,65.78904861896301,52.906403940886705,8.029556650246306,37.635467980295566
6305,2002,15634,56.27748900439824,7.98664662186063,40.74453115005757,48.11234725515229,8.881998905708553,40.434068940361115
6306,2002,11200,52.0293199402742,7.418329101680571,81.35714285714286,48.977987421383645,15.513626834381553,34.11949685534591
6307,2002,9729,55.216975111678366,7.291545592915456,39.541576729365815,37.743774377437745,18.57185718571857,42.21422142214221
6308,2002,8078,55.43582836251684,7.4458523399222845,73.83015597920277,53.36292249914647,11.94947080914988,32.912256742915666
6309,2002,3442,59.130836800739715,6.212389380530974,100.0,47.80952380952381,9.142857142857142,40.19047619047619
6310,2002,32387,55.11015325670498,8.428858807258706,42.56028653472072,28.157827312323853,9.069946195234435,61.29473054915022
7101,2002,201797,49.63554527321128,10.06572007569149,3.98519304053083,6.597911728909102,12.917814361668054,78.07571584139389
7102,2002,46081,56.791425654984685,8.545539525753279,19.26824504676548,23.13406848520023,19.704004643064422,55.03772489843296
7103,2002,10812,57.402824283010624,6.215970961887478,70.80096189419164,49.891481280520885,5.887140531741726,41.996744438415625
7104,2002,4225,60.89108910891089,6.049411764705883,40.85207100591716,49.61349262122277,12.719606465214337,35.91004919184821
7105,2002,16837,55.609981515711645,7.5181818181818185,59.97505493852824,41.63905841325196,13.931996512641673,41.84829991281604
7106,2002,7266,56.763754045307444,6.844889476667296,74.92430498210845,64.34782608695652,3.739130434782609,29.043478260869566
7107,2002,8315,53.384984320236114,6.532142287446164,75.50210463018641,63.99111675126904,6.408629441624365,27.220812182741117
7108,2002,12698,52.528528528528525,6.493336199484093,79.12269648763585,68.91689809869686,4.165776543473617,25.699636829737237
7109,2002,37261,56.04087273336405,6.9518728547977915,64.04283298891602,53.82211538461539,4.423076923076923,39.51121794871795
7110,2002,7674,57.479991791504204,6.913282107574094,54.62600990357049,44.89549839228296,8.60128617363344,44.29260450160772
7201,2002,41217,60.1530929437364,7.879894788755548,25.343911492830628,24.721959729592207,13.74572944682707,58.18855855200988
7202,2002,9457,58.6744966442953,6.783701336432307,57.57639843502168,41.421392677674085,12.885857860732234,42.67767408470926
