cut_2026,year,bonus_total_uf
05402,1987,2879.37
05402,1988,8259.66
05402,1989,14133.61
05402,1991,237.83
05402,1992,1824.85
05402,1993,4904.95
05402,1994,4842.35
05402,1995,8839.199999999999
05402,1996,8995.47
05402,1997,10341.84
05402,1998,4207.0
05402,1999,8663.289999999999
05402,2000,1888.73
05402,2001,4778.49
05402,2002,1124.27
05402,2003,11060.17
05402,2004,5008.04
05402,2005,2262.2699999999995
05402,2006,212.77
05402,2008,3850.7300000000005
05402,2009,4579.54
05402,2010,11824.81
05402,2012,1239.0
05402,2013,539.93
05402,2014,3106.06
05402,2015,2400.01
05402,2016,11383.01
05402,2017,1035.63
05402,2018,2266.33
05402,2019,9196.220000000001
05403,1994,831.95
05403,1995,6535.32
05403,2003,490.91
05404,1988,760.25
05404,1991,642.8399999999999
05404,1992,4275.81
05404,1993,3484.36
05404,1994,2972.1
05404,1995,6093.28
05404,1996,10008.46
05404,1997,9284.630000000001
05404,1998,4202.2
05404,1999,2372.21
05404,2000,4205.26
05404,2001,9783.39
05404,2002,5560.83
05404,2004,2620.34
05404,2005,3597.99
05404,2006,1466.65
05404,2007,889.31
05404,2008,292.55
05404,2009,1844.1499999999999
05404,2011,8165.38
05404,2012,194.03
05404,2013,1562.9299999999998
05404,2014,789.23
05404,2017,412.31
05404,2019,531.4300000000001
05405,1988,2399.53
05405,1995,912.16
05405,2000,305.88
05405,2002,615.67
05405,2008,382.72
05405,2010,3165.12
05405,2012,1473.82
05405,2017,936.24
05501,1988,3039.34
05501,1989,9014.82
05501,1990,4659.42
05501,1991,810.02
05501,1992,9982.42
05501,1993,1991.27
05501,1994,4738.0199999999995
05501,1995,7651.09
05501,1996,4767.81
05501,1997,4216.79
05501,1998,9204.01
05501,1999,4655.18
05501,2000,4526.67
05501,2001,12290.380000000001
05501,2002,9942.35
05501,2003,6876.61
05501,2004,6371.459999999999
05501,2005,3228.75
05501,2006,1444.51
05501,2007,11270.59
05501,2008,3531.17
05501,2009,1845.31
05501,2010,1125.1499999999999
05501,2011,946.51
05501,2012,2211.67
05501,2013,3430.14
05501,2014,1859.04
05501,2015,1114.16
05501,2016,15150.96
05501,2017,8594.72
05501,2019,4106.52
05502,1992,2709.96
05502,1993,105.55
05502,1994,365.98
05502,1997,1224.6499999999999
05502,1998,1051.8600000000001
05502,1999,3632.65
05502,2000,989.1300000000001
05502,2001,6041.370000000001
05502,2003,610.25
05502,2004,363.4
05502,2005,556.35
05502,2006,3435.05
05502,2007,4543.76
05502,2010,1552.9
05502,2011,11881.130000000001
05502,2012,6643.77
05502,2013,9478.84
05502,2016,5922.5
05502,2018,3732.92
05502,2019,1413.05
05503,1988,4850.84
05503,1990,3400.27
05503,1991,194.02
05503,1992,387.79
05503,1993,5335.290000000001
05503,1994,462.82
05503,1995,1366.31
05503,1996,695.97
05503,1998,1901.29
05503,1999,3491.19
05503,2000,2777.0
05503,2001,7496.73
05503,2002,1619.85
05503,2004,8083.41
05503,2005,2024.44
05503,2006,1155.79
05503,2007,508.06
05503,2008,6744.0
05503,2009,3327.17
05503,2010,695.05
05503,2011,5443.74
05503,2012,5547.35
05503,2013,6333.92
05503,2014,452.78
05503,2015,3553.42
05503,2016,756.42
05503,2017,3534.61
05503,2018,486.21
05503,2019,850.55
05504,1988,1402.54
05504,1989,8450.38
05504,1991,2757.29
05504,1992,2152.8
05504,1993,2968.66
05504,1994,3199.42
05504,1995,2691.8999999999996
05504,1996,944.16
05504,1997,1708.0300000000002
05504,1998,942.6999999999999
05504,1999,2021.42
05504,2000,1369.33
05504,2001,2314.0
05504,2002,3409.2599999999998
05504,2003,693.55
05504,2004,45.07
05504,2005,1296.87
05504,2007,6783.13
05504,2009,1508.78
05504,2010,522.89
05504,2011,5720.63
05504,2013,143.69
05504,2016,150.1
05506,1988,2914.2200000000003
05506,1989,1437.51
05506,1993,1329.24
05506,1994,4245.15
05506,1995,3174.24
05506,1996,1441.48
05506,1997,4476.24
05506,1998,1701.3899999999999
05506,1999,8372.650000000001
05506,2000,3647.6400000000003
05506,2001,5230.2300000000005
05506,2002,4645.51
05506,2003,8830.7
05506,2004,13347.43
05506,2005,4661.2
05506,2006,910.21
05506,2007,487.4
05506,2008,9171.31
05506,2009,1889.91
05506,2010,2453.7799999999997
05506,2012,1574.76
05506,2013,2760.58
05506,2014,377.58
05506,2015,1993.85
05506,2018,1036.0
05506,2019,1858.7900000000002
05601,1994,1431.8
05601,1995,2809.67
05601,2000,3029.0699999999997
05601,2002,1868.8
05601,2003,1847.21
05601,2004,467.69
05601,2005,8161.92
05601,2007,1556.27
05601,2008,4110.84
05601,2009,13604.71
05601,2010,6759.780000000001
05601,2011,1613.36
05601,2012,7537.320000000001
05601,2013,2304.63
05601,2014,5494.650000000001
05601,2015,5549.19
05601,2016,3829.7200000000003
05601,2017,5294.47
05601,2019,975.0799999999999
05602,1997,373.16
05602,1998,297.77
05603,1992,379.29
05603,1995,717.04
05603,1997,2932.59
05603,1998,1337.6100000000001
05603,2002,734.45
05603,2003,719.53
05603,2009,3503.63
05603,2010,2018.15
05606,1989,1147.81
05606,1993,2633.5
05606,1996,1857.76
05606,1997,2324.56
05606,1999,632.99
05606,2001,2130.66
05606,2006,5695.16
05606,2007,5927.18
05606,2009,3701.12
05606,2010,2319.35
05606,2011,2511.38
05606,2012,14749.880000000001
05606,2013,14059.72
05606,2014,12281.720000000001
05606,2015,5313.26
05606,2016,7920.94
05606,2017,10413.3
05606,2018,12961.5
05606,2019,4369.99
05701,1987,2251.8
05701,1988,812.43
05701,1989,2404.56
05701,1990,2188.23
05701,1993,588.44
05701,1994,2250.38
05701,1996,770.66
05701,1997,4778.9400000000005
05701,1998,1156.94
05701,1999,1965.2
05701,2000,2467.88
05701,2001,3743.1899999999996
05701,2002,9995.38
05701,2003,1879.2399999999998
05701,2004,2636.5699999999997
05701,2005,12582.96
05701,2006,8402.2
05701,2007,6115.04
05701,2008,1502.79
05701,2009,7526.86
05701,2010,3150.9
05701,2011,1176.56
05701,2012,757.24
05701,2013,6083.33
05701,2014,985.04
05701,2015,13752.24
05701,2016,5470.0199999999995
05701,2017,10375.01
05701,2018,1416.8200000000002
05701,2019,11379.19
